"","Country","mortality.rate","AFR","agri.forestry.fish.gdp.pct","industry.gdp.pct","CO2","fertility.rate","GDP","GDP.per.capita","GDP.grwoth.rate","GNI","inflation","population.growth","population","unemployment","Continent","Urban.pop","Household.consump","Forest.area","Arable.land","Water","Food.prod.index","Health.expend","Immunization","Sanitation.faci","Immunization.measles","Health.exp.pocket","Fixed.tel","Mobile.cel","Internet.users"
"104","Tajikistan",39.5,38.92,23.3268165616333,22.0426346192666,0.366926485373097,3.492,7633049792.09321,954.720525255865,7.48617609527867,24158290107.888,11.8829025519504,2.26577114602006,7995062,10.75,"Asia",26.57,9.11669540493518,2.94,0.11,71.7,143.81,1.88,94,94.4,94,60.09,4.91,81.51,14.51
"105","Tanzania",66.2,122.709,31.0829263983585,21.8015769127126,0.194470622892078,5.287,39087797979.9554,820.156289803745,5.14101362067316,106532246489.666,10.7419367862317,3.129140975329,49082997,3.2409999370575,"Africa",29.49,10.1964526452289,53.26,0.28,55.4,148.85,2.78,92,14,97,31.64,0.37,56.96,3.95
"106","Thailand",12.1,51.563,11.5070252185382,37.4282794563036,4.37176541487934,1.534,397558094269.877,5859.88764411764,7.24278660542524,952546497808.879,1.90922873045223,0.46367738206719,67843979,0.579999983310699,"Asia",46.68,12.2898870927812,31.92,0.25,97.1,129.63,3.58,99,93.2,98,11.63,9.55,127.29,26.46
"107","Togo",85.1,91.737,42.5239181266441,18.4023348176676,0.362450983908114,4.727,3873529926.22723,564.697148593323,6.54350703065616,9221473229.02341,1.70956539800962,2.66214319409888,6859482,1.85399997234344,"Africa",38.49,8.09641848721316,4.55,0.39,61.1,137.74,4.19,84,11.5,72,41.54,0.93,49.86,4
"108","Tunisia",15.8,7.59,9.08585674812094,29.6406479196752,2.48044562395032,2.214,45044112939.3687,4137.548140475,3.99767400230937,110476647608.062,4.89636662210235,1.1567037617795,10886668,17.6299991607666,"Africa",66.27,10.3081269865359,6.5,0.26,96.9,118.02,4.16,97,90.3,96,35.51,10.1,118.11,41.44
"109","Turkey",16.6,31.243,7.75275917516526,26.7741388009724,4.4194878877818,2.124,873982182628.062,11720.3130136743,4.7899195245698,1527509825406.72,7.41824409854944,1.56837559565774,74569867,8.14999961853027,"Asia",71.83,13.22432858151,14.82,0.28,99.5,126.64,4.14,97,93.7,96,15.39,18.73,91.46,45.13
"110","Ukraine",10.7,27.953,7.81572028712814,24.5422231144846,6.4876028056754,1.531,175781379051.433,3855.4212801318,0.23868130555249,379899349167.88,7.79492326205909,-0.247099230432045,45593300,7.53000020980835,"Europe",69.07,11.6955348136814,16.56,0.71,96.5,126.59,4.14,76,95.8,79,41.78,26.76,130.34,35.27
"111","United Kingdom",4.8,17.744,0.603480247444703,17.9224732602471,7.35589827677421,1.92,2662085168498.93,41790.7791407408,1.48132982903095,2384231664942.12,1.56346712218378,0.695315842711388,63700300,7.8899998664856,"Europe",81.83,14.3520534886542,12.78,0.1,100,98.89,7.79,95,99.2,92,9.04,52.88,124.76,87.48
"112","United States",7.1,27.919,1.20242882579074,19.9115840511338,16.3042868033172,1.8805,1.6155255e+13,51450.9591148182,2.22403085385714,1.6596084e+13,1.84205148309647,0.750914976335014,313993272,8.06999969482422,"North America",81.11,16.2187126519181,33.81,0.49,99.1,109.06,8.01,96,100,92,11.87,43.65,96.01,79.3
"113","Venezuela, RB",17,87.82,5.01636863410636,45.1601984347976,6.64923346808024,2.417,381286237847.667,12755.0000818807,5.62595697508641,523983136899.452,14.0594300642861,1.44818998940187,29893080,7.40999984741211,"South America",88.85,12.3282866056813,53.48,0.09,92.9,123.3,1.57,81,94,87,61.16,25.53,102.05,49.05
"114","Vietnam",22.4,36.061,19.2214009962966,33.5577933080444,1.57233798156171,1.957,155820001920.492,1722.68393092336,5.2473671560487,426297866621.211,10.9260338090746,1.12875213035223,90451881,1.76999998092651,"Asia",31.67,11.499585481731,46.4,0.07,93.8,132.07,2.54,97,73.1,96,48.83,10.52,145.02,39.49
